ID_Pedido,Data_Pedido,Nome_Produto,Categoria,Preco_Unitario,Quantidade,ID_Cliente,Cidade,Estado,Valor_Total,Mes,Ano
1000,2026-11-15 14:16:00,Mouse Vertical Ergonômico,Acessórios,244.89,1,206,Brasília,DF,244.89,11,2026
1001,2026-05-21 04:36:00,Teclado Mecânico Switch Brown,Acessórios,570.16,1,479,Rio de Janeiro,RJ,570.16,5,2026
1002,2026-05-13 23:12:00,Suporte Articulado Monitor,Móveis,345.24,2,159,Recife,PE,690.48,5,2026
1003,2026-10-25 10:11:00,Licença Suíte Office,Software,462.1,1,351,Rio de Janeiro,RJ,462.1,10,2026
1004,2026-01-19 19:59:00,Webcam 4K,Acessórios,699.0,2,114,Rio de Janeiro,RJ,1398.0,1,2026
1005,2026-03-25 23:39:00,Headset Wireless 7.1,Acessórios,809.16,1,292,Curitiba,PR,809.16,3,2026
1006,2026-12-08 03:45:00,Laptop Gamer,Eletrônicos,7866.25,1,355,Porto Alegre,RS,7866.25,12,2026
1007,2026-06-07 20:56:00,Mesa em L para Escritório,Móveis,968.7,1,434,Belo Horizonte,MG,968.7,6,2026
1008,2026-09-04 12:38:00,Mousepad Gigante,Acessórios,117.46,1,301,Curitiba,PR,117.46,9,2026
1009,2026-02-05 08:22:00,Suporte Articulado Monitor,Móveis,365.54,1,490,Salvador,BA,365.54,2,2026
1010,2026-10-14 05:10:00,Placa de Vídeo RTX 4070,Hardware,4568.42,1,132,Curitiba,PR,4568.42,10,2026
1011,2026-02-27 16:58:00,Webcam 4K,Acessórios,713.76,2,104,Fortaleza,CE,1427.52,2,2026
1012,2026-12-12 06:59:00,Tablet Produtividade,Eletrônicos,3327.25,1,101,Curitiba,PR,3327.25,12,2026
1013,2026-01-17 02:30:00,Cadeira Gamer Ergonômica,Móveis,1666.44,1,282,São Paulo,SP,1666.44,1,2026
1014,2026-09-19 02:24:00,Memória RAM 32GB DDR5,Hardware,865.96,1,159,Brasília,DF,865.96,9,2026
1015,2026-08-23 13:07:00,Smartphone Topo de Linha,Eletrônicos,5060.21,1,320,Brasília,DF,5060.21,8,2026
1016,2026-05-10 00:22:00,Assinatura Cloud 1TB (Anual),Software,200.03,1,364,Rio de Janeiro,RJ,200.03,5,2026
1017,2026-01-21 10:00:00,Laptop Gamer,Eletrônicos,7867.16,1,370,Salvador,BA,7867.16,1,2026
1018,2026-04-04 05:06:00,"Monitor Ultrawide 34""",Eletrônicos,2839.51,1,333,Porto Alegre,RS,2839.51,4,2026
1019,2026-06-22 13:11:00,Processador i9,Hardware,3173.17,1,106,Brasília,DF,3173.17,6,2026
1020,2026-10-29 23:57:00,Headset Wireless 7.1,Acessórios,803.9,1,474,Curitiba,PR,803.9,10,2026
1021,2026-06-03 03:56:00,SSD NVMe 2TB,Hardware,878.8,1,471,Florianópolis,SC,878.8,6,2026
1022,2026-08-19 11:59:00,Suporte Articulado Monitor,Móveis,349.46,2,366,Belo Horizonte,MG,698.92,8,2026
1023,2026-05-31 05:21:00,Mousepad Gigante,Acessórios,118.27,1,254,Belo Horizonte,MG,118.27,5,2026
1024,2026-01-18 18:01:00,Placa de Vídeo RTX 4070,Hardware,4433.6,1,150,Recife,PE,4433.6,1,2026
1025,2026-09-25 21:57:00,Memória RAM 32GB DDR5,Hardware,896.88,1,201,São Paulo,SP,896.88,9,2026
1026,2026-06-02 21:56:00,Mouse Vertical Ergonômico,Acessórios,240.92,1,421,Florianópolis,SC,240.92,6,2026
1027,2026-02-02 09:34:00,SSD NVMe 2TB,Hardware,883.48,1,108,São Paulo,SP,883.48,2,2026
1028,2026-12-14 05:45:00,Placa de Vídeo RTX 4070,Hardware,4353.36,1,340,Porto Alegre,RS,4353.36,12,2026
1029,2026-10-21 18:20:00,Licença Suíte Office,Software,442.06,2,400,Brasília,DF,884.12,10,2026
1030,2026-02-20 17:01:00,Placa de Vídeo RTX 4070,Hardware,4644.47,2,158,Salvador,BA,9288.94,2,2026
1031,2026-02-12 06:00:00,Suporte Articulado Monitor,Móveis,333.12,1,200,Recife,PE,333.12,2,2026
1032,2026-08-06 04:38:00,Processador i9,Hardware,3228.6,1,384,Recife,PE,3228.6,8,2026
1033,2026-08-13 15:21:00,Laptop Gamer,Eletrônicos,7846.69,1,386,Belo Horizonte,MG,7846.69,8,2026
1034,2026-02-28 13:27:00,Licença Suíte Office,Software,462.13,1,200,Belo Horizonte,MG,462.13,2,2026
1035,2026-05-02 16:00:00,Headset Wireless 7.1,Acessórios,761.04,1,214,Salvador,BA,761.04,5,2026
1036,2026-10-12 22:06:00,Placa de Vídeo RTX 4070,Hardware,4581.14,1,153,Brasília,DF,4581.14,10,2026
1037,2026-12-24 18:03:00,Cadeira Gamer Ergonômica,Móveis,1626.78,1,383,Recife,PE,1626.78,12,2026
1038,2026-08-18 10:30:00,Placa Mãe High-End,Hardware,1530.7,1,432,Brasília,DF,1530.7,8,2026
1039,2026-09-01 00:27:00,Headset Wireless 7.1,Acessórios,816.43,1,158,Belo Horizonte,MG,816.43,9,2026
1040,2026-08-14 22:19:00,SSD NVMe 2TB,Hardware,820.24,2,486,Porto Alegre,RS,1640.48,8,2026
